citation_id,accident_id,officer_id,violation
C001,A001,800,speeding
C002,A002,801,failure_to_yield
C003,A003,802,running_red_light
C004,A004,803,unsafe_lane_change
C005,A005,804,speeding
C006,A006,805,failure_to_yield
C007,A007,806,running_red_light
C008,A008,807,unsafe_lane_change
C009,A009,808,speeding
C010,A010,809,failure_to_yield
C011,A011,810,running_red_light
C012,A012,811,unsafe_lane_change
C013,A013,812,speeding
C014,A014,813,failure_to_yield
C015,A015,814,running_red_light
C016,A016,815,unsafe_lane_change
C017,A017,816,speeding
C018,A018,817,failure_to_yield
C019,A019,818,running_red_light
C020,A020,819,unsafe_lane_change
C021,A021,820,speeding
C022,A022,821,failure_to_yield
C023,A023,822,running_red_light
C024,A024,823,unsafe_lane_change
C025,A025,824,speeding
C026,A026,825,failure_to_yield
C027,A027,826,running_red_light
C028,A028,827,unsafe_lane_change
C029,A029,828,speeding
C030,A030,829,failure_to_yield
C031,A031,830,running_red_light
C032,A032,831,unsafe_lane_change
C033,A033,832,speeding
C034,A034,833,failure_to_yield
C035,A035,834,running_red_light
C036,A036,835,unsafe_lane_change
C037,A037,836,speeding
C038,A038,837,failure_to_yield
C039,A039,838,running_red_light
C040,A040,839,unsafe_lane_change
C041,A041,840,speeding
C042,A042,841,failure_to_yield
C043,A043,842,running_red_light
C044,A044,843,unsafe_lane_change
C045,A045,844,speeding
C046,A046,845,failure_to_yield
C047,A047,846,running_red_light
C048,A048,847,unsafe_lane_change
C049,A049,848,speeding
C050,A050,849,failure_to_yield
