accident_id,road_condition,lighting,weather
A001,dry,daylight,clear
A002,wet,dusk,rain
A003,construction,night,overcast
A004,icy,dawn,fog
A005,dry,daylight,clear
A006,wet,dusk,rain
A007,construction,night,overcast
A008,icy,dawn,fog
A009,dry,daylight,clear
A010,wet,dusk,rain
A011,construction,night,overcast
A012,icy,dawn,fog
A013,dry,daylight,clear
A014,wet,dusk,rain
A015,construction,night,overcast
A016,icy,dawn,fog
A017,dry,daylight,clear
A018,wet,dusk,rain
A019,construction,night,overcast
A020,icy,dawn,fog
A021,dry,daylight,clear
A022,wet,dusk,rain
A023,construction,night,overcast
A024,icy,dawn,fog
A025,dry,daylight,clear
A026,wet,dusk,rain
A027,construction,night,overcast
A028,icy,dawn,fog
A029,dry,daylight,clear
A030,wet,dusk,rain
A031,construction,night,overcast
A032,icy,dawn,fog
A033,dry,daylight,clear
A034,wet,dusk,rain
A035,construction,night,overcast
A036,icy,dawn,fog
A037,dry,daylight,clear
A038,wet,dusk,rain
A039,construction,night,overcast
A040,icy,dawn,fog
A041,dry,daylight,clear
A042,wet,dusk,rain
A043,construction,night,overcast
A044,icy,dawn,fog
A045,dry,daylight,clear
A046,wet,dusk,rain
A047,construction,night,overcast
A048,icy,dawn,fog
A049,dry,daylight,clear
A050,wet,dusk,rain
